topic_num,keywords
0,"0.023*""sound"" + 0.019*""offset"" + 0.013*""ergofit"" + 0.012*""produce"" + 0.011*""s"" + 0.009*""make"" + 0.009*""drown"" + 0.009*""incredibly"" + 0.008*""much"" + 0.008*""try"""
1,"0.108*""ear"" + 0.039*""bud"" + 0.038*""fit"" + 0.021*""come"" + 0.020*""size"" + 0.019*""sound"" + 0.016*""different"" + 0.015*""stay"" + 0.014*""small"" + 0.014*""like"""
2,"0.165*""work"" + 0.039*""still"" + 0.036*""great"" + 0.029*""well"" + 0.029*""use"" + 0.022*""fine"" + 0.015*""sound"" + 0.015*""perfectly"" + 0.015*""month"" + 0.014*""stop"""
3,"0.111*""good"" + 0.081*""sound"" + 0.052*""price"" + 0.050*""quality"" + 0.022*""really"" + 0.022*""bass"" + 0.017*""cheap"" + 0.017*""well"" + 0.015*""would"" + 0.014*""get"""
4,"0.018*""ok"" + 0.015*""review"" + 0.014*""one"" + 0.013*""get"" + 0.012*""impress"" + 0.012*""go"" + 0.011*""white"" + 0.011*""come"" + 0.010*""good"" + 0.009*""buy"""
5,"0.038*""money"" + 0.038*""review"" + 0.034*""get"" + 0.032*""worth"" + 0.029*""read"" + 0.023*""sound"" + 0.021*""bass"" + 0.018*""dollar"" + 0.017*""glad"" + 0.017*""thank"""
6,"0.034*""phone"" + 0.027*""sound"" + 0.019*""fit"" + 0.018*""earbud"" + 0.017*""head"" + 0.016*""ear"" + 0.014*""good"" + 0.012*""get"" + 0.012*""quality"" + 0.011*""case"""
7,"0.121*""excellent"" + 0.037*""sound"" + 0.033*""quality"" + 0.030*""price"" + 0.018*""cord"" + 0.014*""wire"" + 0.014*""word"" + 0.014*""product"" + 0.013*""complain"" + 0.011*""describe"""
8,"0.026*""sound"" + 0.025*""volume"" + 0.018*""pink"" + 0.018*""okay"" + 0.017*""control"" + 0.014*""poor"" + 0.013*""red"" + 0.013*""cord"" + 0.011*""good"" + 0.011*""free"""
9,"0.076*""noise"" + 0.032*""block"" + 0.028*""sound"" + 0.023*""outside"" + 0.020*""hear"" + 0.020*""well"" + 0.020*""good"" + 0.019*""earbud"" + 0.019*""bass"" + 0.017*""cancel"""
10,"0.209*""great"" + 0.103*""sound"" + 0.094*""price"" + 0.051*""quality"" + 0.036*""comfortable"" + 0.030*""fit"" + 0.025*""product"" + 0.012*""awesome"" + 0.012*""good"" + 0.010*""buy"""
11,"0.027*""player"" + 0.023*""mp"" + 0.022*""skull"" + 0.022*""candy"" + 0.016*""brand"" + 0.015*""one"" + 0.015*""jvc"" + 0.015*""buy"" + 0.015*""go"" + 0.012*""like"""
12,"0.038*""pair"" + 0.026*""sound"" + 0.024*""price"" + 0.022*""great"" + 0.021*""beat"" + 0.021*""earbud"" + 0.021*""go"" + 0.021*""buy"" + 0.016*""comfortable"" + 0.014*""ear"""
13,"0.072*""recommend"" + 0.047*""highly"" + 0.025*""would"" + 0.023*""amazing"" + 0.021*""sound"" + 0.020*""anyone"" + 0.019*""product"" + 0.019*""well"" + 0.017*""ear"" + 0.015*""price"""
14,"0.082*""buy"" + 0.048*""would"" + 0.025*""earphone"" + 0.022*""one"" + 0.018*""friend"" + 0.018*""love"" + 0.016*""recommend"" + 0.015*""great"" + 0.014*""say"" + 0.014*""pleased"""
15,"0.110*""color"" + 0.090*""love"" + 0.021*""perfect"" + 0.019*""match"" + 0.017*""blue"" + 0.016*""son"" + 0.016*""purple"" + 0.014*""picture"" + 0.012*""show"" + 0.011*""like"""
16,"0.049*""fit"" + 0.043*""nice"" + 0.028*""ear"" + 0.023*""sound"" + 0.016*""star"" + 0.016*""wonderful"" + 0.015*""green"" + 0.015*""expectation"" + 0.015*""orange"" + 0.014*""comfortably"""
17,"0.045*""use"" + 0.036*""last"" + 0.033*""long"" + 0.026*""month"" + 0.024*""time"" + 0.020*""sound"" + 0.019*""buy"" + 0.016*""wear"" + 0.016*""go"" + 0.016*""earphone"""
18,"0.028*""sound"" + 0.023*""earbud"" + 0.017*""bass"" + 0.014*""one"" + 0.014*""get"" + 0.013*""like"" + 0.012*""listen"" + 0.011*""pair"" + 0.011*""music"" + 0.010*""high"""
19,"0.019*""plug"" + 0.017*""get"" + 0.015*""use"" + 0.013*""sound"" + 0.012*""earbud"" + 0.011*""cord"" + 0.011*""side"" + 0.010*""right"" + 0.009*""seem"" + 0.009*""little"""
20,"0.029*""use"" + 0.023*""earbud"" + 0.020*""pair"" + 0.018*""sound"" + 0.012*""get"" + 0.012*""listen"" + 0.012*""quality"" + 0.010*""panasonic"" + 0.010*""keep"" + 0.010*""would"""
21,"0.059*""pair"" + 0.042*""buy"" + 0.026*""one"" + 0.020*""well"" + 0.019*""get"" + 0.018*""sound"" + 0.015*""price"" + 0.014*""earbud"" + 0.014*""good"" + 0.014*""another"""
